क्र.स.,स्थानीय तहको नाम,जिल्ला,स्थानीय तहको प्रकार,प्रदेश नम्बर,वेवसाईट,कैफियत
59,सरुमारानी गाउँपालिका,प्यूठान,गाउँपालिका,प्रदेश नम्बर ५,sarumaranimun.gov.np,तयार
60,मल्लरानी गाउँपालिका,प्यूठान,गाउँपालिका,प्रदेश नम्बर ५,mallaranimun.gov.np,तयार
61,नौवहिनी गाउँपालिका,प्यूठान,गाउँपालिका,प्रदेश नम्बर ५,naubahinimun.gov.np,तयार
62,झिमरुक गाउँपालिका,प्यूठान,गाउँपालिका,प्रदेश नम्बर ५,jhimrukmun.gov.np,तयार
63,ऐरावती गाउँपालिका,प्यूठान,गाउँपालिका,प्रदेश नम्बर ५,airawatimun.gov.np,तयार
64,रोल्पा नगरपालिका,रोल्पा,नगरपालिका,प्रदेश नम्बर ५,rolpamun.gov.np,तयार
65,त्रिवेणी गाउँपालिका,रोल्पा,गाउँपालिका,प्रदेश नम्बर ५,trivenimunrolpa.gov.np,तयार
66,दुईखोली गाउँपालिका,रोल्पा,गाउँपालिका,प्रदेश नम्बर ५,duikholimun.gov.np,तयार
67,माडी गाउँपालिका,रोल्पा,गाउँपालिका,प्रदेश नम्बर ५,madimunrolpa.gov.np,तयार
68,रुन्टीगढी गाउँपालिका,रोल्पा,गाउँपालिका,प्रदेश नम्बर ५,runtigadhimun.gov.np,तयार
69,लुङग्री गाउँपालिका,रोल्पा,गाउँपालिका,प्रदेश नम्बर ५,lungrimun.gov.np,तयार
70,सुकिदह गाउँपालिका,रोल्पा,गाउँपालिका,प्रदेश नम्बर ५,sukidahamun.gov.np,तयार
71,सुनछहरी गाउँपालिका,रोल्पा,गाउँपालिका,प्रदेश नम्बर ५,sunchhaharimun.gov.np,तयार
72,सुवर्णावती गाउँपालिका,रोल्पा,गाउँपालिका,प्रदेश नम्बर ५,suwarnawatimun.gov.np,तयार
73,थवाङ गाउँपालिका,रोल्पा,गाउँपालिका,प्रदेश नम्बर ५,thabangmun.gov.np,तयार
74,पुथा उत्तरगंगा गाउँपालिका,रुकुम (पूर्वी भाग),गाउँपालिका,प्रदेश नम्बर ५,puthauttargangamun.gov.np,तयार
75,भूमे गाउँपालिका,रुकुम (पूर्वी भाग),गाउँपालिका,प्रदेश नम्बर ५,bhumemun.gov.np,तयार
76,सिस्ने गाउँपालिका,रुकुम (पूर्वी भाग),गाउँपालिका,प्रदेश नम्बर ५,sisnemun.gov.np,तयार
77,तुल्सीपुर उपमहानगरपालिका,दाङ,उपमहानगरपालिका,प्रदेश नम्बर ५,tulsipurmun.gov.np,तयार
78,घोराही उपमहानगरपालिका,दाङ,उपमहानगरपालिका,प्रदेश नम्बर ५,ghorahimun.gov.np,तयार
79,लमही नगरपालिका,दाङ,नगरपालिका,प्रदेश नम्बर ५,lamahimun.gov.np,तयार
80,बंगलाचुली गाउँपालिका,दाङ,गाउँपालिका,प्रदेश नम्बर ५,bangalachulimun.gov.np,तयार
81,दंगीशरण गाउँपालिका,दाङ,गाउँपालिका,प्रदेश नम्बर ५,dangisharanmun.gov.np,तयार
82,गढवा गाउँपालिका,दाङ,गाउँपालिका,प्रदेश नम्बर ५,gadhawamun.gov.np,तयार
83,राजपुर गाउँपालिका,दाङ,गाउँपालिका,प्रदेश नम्बर ५,rajpurmundang.gov.np,तयार
84,राप्ती गाउँपालिका,दाङ,गाउँपालिका,प्रदेश नम्बर ५,raptimundang.gov.np,तयार
85,शान्तिनगर गाउँपालिका,दाङ,गाउँपालिका,प्रदेश नम्बर ५,shantinagarmun.gov.np,तयार
86,बबई गाउँपालिका,दाङ,गाउँपालिका,प्रदेश नम्बर ५,babaimun.gov.np,तयार
87,नेपालगंज उपमहानगरपालिका,बाँके,उपमहानगरपालिका,प्रदेश नम्बर ५,nepalgunjmun.gov.np,तयार
88,कोहलपुर नगरपालिका,बाँके,नगरपालिका,प्रदेश नम्बर ५,kohalpurmun.gov.np,तयार
89,नरैनापुर गाउँपालिका,बाँके,गाउँपालिका,प्रदेश नम्बर ५,narainapurmun.gov.np,तयार
90,राप्तीसोनारी गाउँपालिका,बाँके,गाउँपालिका,प्रदेश नम्बर ५,raptisonarimun.gov.np,तयार
91,बैजनाथ गाउँपालिका,बाँके,गाउँपालिका,प्रदेश नम्बर ५,baijanathmun.gov.np,तयार
92,खजुरा गाउँपालिका,बाँके,गाउँपालिका,प्रदेश नम्बर ५,khajuramun.gov.np,तयार
93,डुडुवा गाउँपालिका,बाँके,गाउँपालिका,प्रदेश नम्बर ५,duduwamun.gov.np,तयार
94,जानकी गाउँपालिका,बाँके,गाउँपालिका,प्रदेश नम्बर ५,janakimunbanke.gov.np,तयार
95,गुलरिया नगरपालिका,बर्दिया,नगरपालिका,प्रदेश नम्बर ५,gulariyamun.gov.np,तयार
96,मधुवन नगरपालिका,बर्दिया,नगरपालिका,प्रदेश नम्बर ५,madhuwanmun.gov.np,तयार
97,राजापुर नगरपालिका,बर्दिया,नगरपालिका,प्रदेश नम्बर ५,rajapurmun.gov.np,तयार
98,ठाकुरबाबा नगरपालिका,बर्दिया,नगरपालिका,प्रदेश नम्बर ५,thakurbabamun.gov.np,तयार
99,बाँसगढी नगरपालिका,बर्दिया,नगरपालिका,प्रदेश नम्बर ५,bansgadhimun.gov.np,तयार
100,बारबर्दिया नगरपालिका,बर्दिया,नगरपालिका,प्रदेश नम्बर ५,barbardiyamun.gov.np,तयार
101,बढैयाताल गाउँपालिका,बर्दिया,गाउँपालिका,प्रदेश नम्बर ५,badhaiyatalmun.gov.np,तयार
102,गेरुवा गाउँपालिका,बर्दिया,गाउँपालिका,प्रदेश नम्बर ५,geruwamun.gov.np,तयार
103,बर्दघाट नगरपालिका,नवलपरासी (बर्दघाट सुस्ता पश्चिम),नगरपालिका,प्रदेश नम्बर ५,bardghatmun.gov.np,तयार
104,रामग्राम नगरपालिका,नवलपरासी (बर्दघाट सुस्ता पश्चिम),नगरपालिका,प्रदेश नम्बर ५,ramgrammun.gov.np,तयार
105,सुनवल नगरपालिका,नवलपरासी (बर्दघाट सुस्ता पश्चिम),नगरपालिका,प्रदेश नम्बर ५,sunwalmun.gov.np,तयार
106,सुस्ता गाउँपालिका,नवलपरासी (बर्दघाट सुस्ता पश्चिम),गाउँपालिका,प्रदेश नम्बर ५,sustamun.gov.np,तयार
107,पाल्हीनन्दन गाउँपालिका,नवलपरासी (बर्दघाट सुस्ता पश्चिम),गाउँपालिका,प्रदेश नम्बर ५,palhinandanmun.gov.np,तयार
108,प्रतापपुर गाउँपालिका,नवलपरासी (बर्दघाट सुस्ता पश्चिम),गाउँपालिका,प्रदेश नम्बर ५,pratappurmun.gov.np,तयार
109,सरावल गाउँपालिका,नवलपरासी (बर्दघाट सुस्ता पश्चिम),गाउँपालिका,प्रदेश नम्बर ५,sarawalmun.gov.np,तयार
